Column1;...1;Row.names;rowid;lat2;lon2;user_id;Column2;text2;retweeted;lang;id;created_at;noChar;iso_lang_1;prob_1;text1;classname
25;52202;91249;314393;50.89711894;4.48300848;427740211;;Super day today my friend sanghoondegeimbre sacred Chef of the Year for;FALSE;en;6,64E+17;09.11.2015 18:07;72;en;0.745039;Super day today my friend sanghoondegeimbre sacred Chef of the Year 2016 for #Belgium by #GaultMillau… https://t.co/i3Xk2HdFvd;work
26;44869;71483;237781;55.7558;37.6176;215292728;;Good morning, Moscow! :);FALSE;en;1.1658114427649761e+018;26.08.2019 2:21;25;en;0.934213;Good morning, Moscow! :) #Sunrise 05:21, noon 12:31, sunset 19:40 MSK (UTC+3), August 26. Day length: 14h 19m.;services
27;53534;94802;323152;53.4569527;-2.23348;443624305;;It was a real inspirational work?;FALSE;en;9,76E+17;20.03.2018 19:23;34;en;0.997537;It was a real inspirational work? https://t.co/dJyTH7EG2I;other
28;5953;12651;44656;49.6041165;6.1264043;17017965;;Today's tattoo;FALSE;en;3,81E+17;19.09.2013 19:08;15;en;0.854828;Today's tattoo #tattoo #ink #luxembourg #onemoretattoo #tatuaje #anchor #banner @ one more tattoo http://t.co/we84MyX3CQ;work
29;43019;67236;230145;49.61107144;6.12977028;194141117;;Sunny week end. Summer is invited in Luxembourg;FALSE;nl;3,59E+17;20.07.2013 10:22;48;en;0.97803;Sunny week end. Summer is invited in Luxembourg @ Lëtzebuerg / Luxemburg / Luxembourg http://t.co/Y3yYVCu9cU;outdoors
30;29122;35607;138565;50.50840494;5.22605896;55369050;;Starting the countdown for the next big destination!;FALSE;en;9,71E+17;05.03.2018 12:22;53;en;0.8003239999999999;"Starting the countdown for the next big destination!

#europe #tripaholic #tripahead… https://t.co/F4YbMKprHU";services
31;10579;151498;721774;49.6079058;6.1358041;1655271403;;A snapshot of;FALSE;en;7,46E+17;23.06.2016 8:47;14;en;0.747625;A snapshot of #Social #Innovation across #Europe. Sector is evolving quickly and soundly. https://t.co/kyPaW2rmx2;work
32;51690;90376;307563;49.42503423;7.75155635;425432047;;Farenur's second trip in the campus. Happy Sunday from Farenur ^_^ (;FALSE;en;4,63E+17;04.05.2014 15:15;68;en;0.8796350000000001;Farenur's second trip in the campus. Happy Sunday from Farenur ^_^ (@ TU Kaiserslautern) http://t.co/pqMXyIpqWI;work
33;12637;157159;757434;49.6079058;6.1358041;2180349990;;Héichhaus view;FALSE;fr;7,03E+17;25.02.2016 15:59;15;en;0.853836;Héichhaus view https://t.co/BoTs77Ilel;outdoors
34;26051;30413;114712;5.11969415;50.16321599;30881902;;I'm at Chateau Royal De Ciergnon;FALSE;fr;2,28E+17;25.07.2012 14:02;33;en;0.8732850000000001;I'm at Chateau Royal De Ciergnon http://t.co/Yqp3c34W;services
35;48073;78795;262716;49.4961318;5.98139225;257642080;;Let it Snow;FALSE;en;2,77E+17;07.12.2012 7:47;12;en;0.725754;Let it Snow #pushthebrand @ Push The Brand Advertising http://t.co/BClnKmAC;work
36;52321;91429;314958;51.20881329;3.22925903;427740211;;Probably one of the best desserts I've ever had: Appel/Sorrel;FALSE;en;5,23E+17;17.10.2014 22:03;62;en;0.8928280000000001;Probably one of the best desserts I've ever had: Appel/Sorrel #brilliant #Bruut #Bruges @ Bistro Bruut http://t.co/kTLbXcXTeq;services
37;45032;71819;238117;45.5089;-73.5542;215292728;;Good morning, Montreal! :);FALSE;en;1,17E+18;28.08.2019 10:10;27;en;0.755303;Good morning, Montreal! :) #Sunrise 06:10, noon 12:55, sunset 19:40 EDT (UTC-4), August 28. Day length: 13h 30m.;services
38;55020;97806;347149;63.8333;20.25;456045381;;Christmas cosiness. Merry very. |;FALSE;sv;8,13E+17;24.12.2016 21:21;34;en;0.924872;Christmas cosiness. Merry very. | #christmaseve #greetingsfromsweden @ Umeå, Sweden https://t.co/RXPHome and familyJory4;home
39;13831;159485;778239;49.6859826;6.0312293;2345340125;;Your beauty got my attention, but your personality stole my heart.;FALSE;en;4.8829149898396877e+017;13.07.2014 11:59;66;en;0.935649;Your beauty got my attention, but your personality stole my heart.;other
40;735;103153;389766;41.5404657;-8.41078185;501254034;;follow me at;FALSE;en;2,41E+17;28.08.2012 22:25;13;en;0.952306;follow me  at https://t.co/TpSvZOoo;other
41;21820;21676;93701;45.73024838;4.81834651;23993398;;Did the walk down to “Les Deux Fleuves” where Rhône and Saône meet.;FALSE;fr;1,01E+18;08.06.2018 14:11;68;en;0.8631030000000001;Did the walk down to “Les Deux Fleuves” where Rhône and Saône meet. #ONLYLYON https://t.co/qwXFoSNY6U;outdoors
42;14246;160876;784044;49.6045045;6.1098599;2520846783;;Learning body parts through coloring and games.;FALSE;en;6,18E+17;07.07.2015 14:09;48;en;0.949191;Learning body parts through coloring and games. http://t.co/4DkXS7nUSc;work
43;54960;97708;347046;49.61027;6.13049;456045381;;This weekend I have HER here! |;FALSE;en;8,76E+17;17.06.2017 13:48;32;en;0.974718;This weekend I have HER here! | #luxlife #weekendvibes @ Ville de Luxembourg https://t.co/oFJBC7ZfZI;services
44;36930;53194;187012;49.151961;9.212133;115206005;;This is a lil inside of what happend yesterday night at…;FALSE;en;9,95E+17;11.05.2018 8:39;57;en;0.898399;This is a lil inside of what happend yesterday night at… https://t.co/atB1ak3Nlu;other
45;17691;167679;800729;49.598666;6.1330168;2816571582;;? Arrival : has a short delay;FALSE;en;8,70E+17;01.06.2017 13:42;30;en;0.984465;"? #RB6841 Rodange?LUX
Arrival 16:12
has a short delay
#CFL60";transport
46;39684;59883;210829;49.81549;6.1332997;153157700;;In Two weeks;FALSE;en;5,83E+17;31.03.2015 8:09;13;en;0.967916;"In Two weeks @Magasin4:  #industrial / #metal: Godflesh (UK) + Fujako (BE/PT) &lt;-&gt; https://t.co/wOoNZRptuf";services
47;45520;7350;30985;49.62214752;6.18724611;14935578;;I just became the mayor of maroldt on;FALSE;en;2,28E+17;24.07.2012 8:36;38;en;0.999355;I just became the mayor of maroldt on @foursquare! http://t.co/un1J0V9n;services
48;19901;174180;821691;49.6079058;6.1358041;3347693639;;Outfit of the day??dress;FALSE;en;6,22E+17;17.07.2015 7:26;25;en;0.964507;Outfit of the day??dress @cosstores bag @hm shoes @ZARA sunglasses @hm http://t.co/Y7jIyVD9lt;services
49;41826;64803;222701;43.70302075;7.25302235;182526711;;One more sunny day in beautiful;FALSE;en;1,01E+18;05.07.2018 9:54;32;en;0.817449;One more sunny day in beautiful @VilledeNice #France https://t.co/b0bf0bdZBU;outdoors
50;25597;29760;114053;49.62461602;6.11537572;30881902;;I'm at Lycée technique du centre;FALSE;fr;1,90E+17;10.04.2012 9:44;33;en;0.954644;I'm at Lycée technique du centre http://t.co/QSNhklLj;work
51;34470;47675;172169;29.761611;-95.379892;81237494;;Georgia Nott Sighting: Houston, Texas/ Eleanor Tinsley Park;FALSE;en;9,78E+17;26.03.2018 18:58;60;en;0.784924;Georgia Nott Sighting: Houston, Texas/ Eleanor Tinsley Park https://t.co/6BT3Tgnbc3;services
52;21936;21893;93955;43.73375303;7.42269491;23993398;;View over Port Hercule and part of Monaco at nightfall from the old fortification wall of Monaco-Ville.;FALSE;en;6,83E+17;01.01.2016 16:41;104;en;0.852356;View over Port Hercule and part of Monaco at nightfall from the old fortification wall of Monaco-Ville. https://t.co/191mnB1wQ8;outdoors
53;41543;64003;221028;49.63514605;5.97027375;176491381;;I'm at BP Gas Station;FALSE;en;1,84E+17;26.03.2012 1:25;22;en;0.994363;I'm at BP Gas Station http://t.co/5EX9NDsF;transport
54;37906;56044;202723;-25.431420000000003;-49.28173299;125709530;;Taking a good Coffe with good friends (;FALSE;en;5,27E+17;29.10.2014 15:51;39;en;0.941538;Taking a good Coffe with good friends (@ Café Babette in Curitiba, PR) https://t.co/gA6X597yWq http://t.co/Lr0KYId7G9;services
55;36852;53099;186800;50.95179984;6.91594197;115206005;;A dope MC is a dope MC - The one and only;FALSE;en;7,83E+17;03.10.2016 19:14;42;en;0.8979;A dope MC is a dope MC - The one and only @IAmKRSOne tomorrow live at cbe_cologne - Tickets… https://t.co/uF66Fn8sYM;services
56;1054;103733;390502;49.68394111;5.81442289;501550136;;I'm at Pizzeria Gepetto (Arlon, Belgium);FALSE;en;3,94E+17;27.10.2013 12:39;41;en;0.809856;I'm at Pizzeria Gepetto (Arlon, Belgium) http://t.co/shZiD4cqkL;services
57;18776;171706;816895;49.47873231;6.09682493;2969092342;;Life is all about workout and enjoying each moment you gotte. Hardcore Soldiaz Luxembourg WONT…;FALSE;en;7,65E+17;15.08.2016 15:27;96;en;0.811492;"Life is all about workout and enjoying each moment you gotte.
Hardcore Soldiaz Luxembourg 

WONT… https://t.co/OCuy8WZqaz";outdoors
58;9350;147051;685115;50.69469466;-2.24319801;1355223290;;Just posted a photo;FALSE;en;8,79E+17;25.06.2017 10:12;20;en;0.813186;Just posted a photo @ The Tank Museum https://t.co/gWwycR0zpa;services
59;46795;76247;256629;45.55353883;6.76352211;238697932;;One week skiing. I hate it! Its cold and there is too much snow!;FALSE;en;1,49E+17;19.12.2011 12:32;64;en;0.996448;One week skiing. I hate it! Its cold and there is too much snow!;outdoors
60;3939;115816;455558;49.425241;7.748891;595407935;;Sitting at the hairdresser , contemplating if I should go with a bob again ??;FALSE;en;1.0815082278362481e+018;05.01.2019 11:10;77;en;0.819883;Sitting at the hairdresser , contemplating if I should go with a bob again ??;services
61;15367;165418;797400;49.598666;6.1330168;2816571582;;? Departure : has a short delay;FALSE;en;8,80E+17;29.06.2017 6:13;32;en;0.969461;"? #RB3508 LUX?Diekirch
Departure 8:24
has a short delay
#CFL10";transport
62;3708;115091;441125;2.8312034;103.43446343;587845995;;It baffles me how quickly kids are able to learn!;FALSE;en;4,00E+17;11.11.2013 8:26;50;en;0.975395;It baffles me how quickly kids are able to learn! #possessivepronouns on repeat.;work
63;17167;167173;799989;49.598666;6.1330168;2816571582;;? Arrival : has a short delay;FALSE;en;8,73E+17;08.06.2017 15:42;30;en;0.984465;"? #RB3641 Diekirch?LUX
Arrival 17:36
has a short delay
#CFL10";transport
64;14758;16259;67129;48.56494228;6.46278616;20667454;;I'm at Chateau D Adomenil Luneville (Luneville, Lorraine);FALSE;en;4,05E+17;24.11.2013 11:31;58;en;0.816136;I'm at Chateau D Adomenil Luneville (Luneville, Lorraine) http://t.co/QGdSfXeGSr;services
65;14797;163141;789408;49.6117;июнь.13;2709345931;;Star Wars party piñata, some minutes before getting destroyed;FALSE;en;7,06E+17;06.03.2016 10:21;62;en;0.930796;Star Wars party piñata, some minutes before getting destroyed #starwarsparty #crafting… https://t.co/HsY2kqG2HY;services
66;48763;80179;267836;49.6079058;6.1358041;277537024;;I can't wait to buy my own place so my life will finally be rid of rogue landlords taking liberties;FALSE;en;5,26E+17;24.10.2014 8:45;100;en;0.977308;I can't wait to buy my own place so my life will finally be rid of rogue landlords taking liberties #FFS #mortgagemotivation;other
67;34681;48256;173736;50.00467939;8.27460471;86423694;;I'm at Mainz Strand;FALSE;en;3,74E+17;31.08.2013 15:23;20;en;0.963762;I'm at Mainz Strand http://t.co/izzhzt9FyF;services
68;28470;34538;132411;50.44686461;4.63244256;46239171;;Sim & Nicoyes — at Express Irish Pub;FALSE;en;8,92E+15;28.11.2010 16:28;37;en;0.885065;Sim & Nicoyes — at Express Irish Pub http://gowal.la/c/2ZJ3x;services
69;4803;120404;483655;43.354170200000006;3.5565085;631546669;;Come in and support me or see me getting rekt KIOS WORLD V;FALSE;en;6,28E+17;01.08.2015 18:00;59;en;0.7832060000000001;Come in and support me or see me getting rekt KIOS WORLD V2 http://t.co/ox4TZelHYU!;services
70;36482;52632;185968;49.11429129999999;6.70838426;114715060;;I'm at Saint-Avold in Saint-Avold, Lorraine;FALSE;en;6,92E+17;27.01.2016 13:52;44;en;0.8174859999999999;I'm at Saint-Avold in Saint-Avold, Lorraine https://t.co/tyE9Tsqt7k;services
71;49983;83299;283242;49.53228925;6.00771245;355017192;;Not happy w/ DHL Luxembourg. Had drive Foetz pkg. Or risk miss anoth delivery. No nbrhood parcel shops. Worse service than elsewhere.;FALSE;en;8,44E+17;21.03.2017 11:02;133;en;0.805185;Not happy w/ DHL Luxembourg. Had 2 drive 2 Foetz 4 pkg. Or risk miss anoth delivery. No nbrhood parcel shops. Worse service than elsewhere.;services
72;40627;6196;28772;48.5468824;7.70938375;14651646;;Also finding sensors ahead of intersections is common on many streets. (PS: forgot a word in the previous sentence);FALSE;en;1,05E+18;28.09.2018 19:48;115;en;0.959959;Also finding sensors ahead of intersections is common on many streets. (PS: forgot a word in the previous sentence);services
73;49895;82860;278130;49.62741485;6.009684;342144097;;Wednesday afternoon madness at the office,;FALSE;en;6,85E+17;06.01.2016 15:41;43;en;0.935119;Wednesday afternoon madness at the office, @SaraDugard decorates the place for the arrival of the new team members.. https://t.co/bApZNHsYcF;work
74;33653;45603;169925;42.473333;-83.005298;81237494;;Michael John Adams Sighting: Warren, Michigan/ The Ritz;FALSE;en;9,88E+17;22.04.2018 1:19;56;en;0.717734;Michael John Adams Sighting: Warren, Michigan/ The Ritz https://t.co/kgdriCmkfU;services
75;28945;35401;138307;49.608889000000005;6.126944;55369050;;I am never tired to walk this city ?? ??;FALSE;en;9,51E+17;09.01.2018 18:13;41;en;0.96806;"I am never tired to walk this city ?? ?? 
#luxembourg #luxembourgcity #luxembourgville  #europe… https://t.co/dMKaiaF4r0";services
76;46635;75773;255103;49.55670432;5.8765713999999996;236870783;;I'm at Place Du Marché;FALSE;fr;1,87E+17;02.04.2012 12:43;23;en;0.849366;I'm at Place Du Marché http://t.co/09YuVcSM;services
77;38722;58012;205740;48.86111854;2.33558272;139454928;;The beautiful ceilings of The Louvre. ??;FALSE;fr;8,20E+17;12.01.2017 18:55;41;en;0.71944;The beautiful ceilings of The Louvre. ?? #thelouvre #paris #france #paintedceilings @ Louvre… https://t.co/GazEXBFvp4;services
78;7138;133806;589537;49.6236804;6.171322;1037023590;;I'm at Neudorf w/ others;FALSE;en;3,37E+17;22.05.2013 6:43;25;en;0.988022;I'm at Neudorf w/ 2 others http://t.co/JnbbU6W9j9;services
79;45702;73785;241709;51.65;-9.91667;225026601;;Epic view of the road bowling this morning;FALSE;en;9,46E+17;27.12.2017 11:56;43;en;0.956717;Epic view of the road bowling this morning #christmastradition… https://t.co/U1BTXGlWWt;transport
80;21787;21569;93481;43.73928833;7.42606284;23993398;;Some afternoon drinks at the Mass One in the newly created Promenade Princesse Charlène.;FALSE;en;1,16E+18;31.07.2019 16:06;89;en;0.8638809999999999;Some afternoon drinks at the Mass One in the newly created Promenade Princesse Charlène. https://t.co/NIyfwY7u1x;services
81;43554;68285;232066;49.23245963;6.97772977;212208267;;Wkwkwk pecah dompet RT;FALSE;in;3,04E+17;20.02.2013 21:29;23;en;0.869501;Wkwkwk pecah dompet RT @anggisam: Yang pegang barca langsung akhir bulanan hahahahahaha;other
82;43497;67991;231355;49.53026843;5.94071388;200650310;;Booked to do a show in a Golf Club. Sounds cool!;FALSE;en;2,43E+15;10.11.2010 18:45;48;en;0.8758469999999999;Booked to do a show in a Golf Club. Sounds cool!;work
83;49773;82682;277614;49.49917215;6.326877099999999;339795921;;Again... Who'll find my husband?;FALSE;en;8,05E+17;04.12.2016 14:08;33;en;0.968227;Again... Who'll find my husband? https://t.co/G8JJUkAkGO ?@meowclank;home
84;23023;24405;99793;-37.91766351;144.98653874;27610800;;Wherever I am in the world, Ukraine will always be my home! Happy Independence Day! Photo by…;FALSE;en;7,69E+17;24.08.2016 21:08;94;en;0.85908;Wherever I am in the world, Ukraine will always be my home! Happy Independence Day! Photo by… https://t.co/y0aBlG3IP7;other
85;53841;95184;323880;-33.4521612;-70.6596154;441961401;;I Miss the cold;FALSE;en;6,94E+17;01.02.2016 16:47;15;en;0.986517;I Miss the cold;other
86;20492;18592;72573;50.601342;5.769480000000001;22135848;;Beating Mondays... I just finished running . km in m:s with;FALSE;en;6,56E+17;19.10.2015 4:55;60;en;0.968773;Beating Mondays... I just finished running 4.52 km in 21m:21s with #Endomondo #endorphins http://t.co/rMr2H1M6bY;outdoors
87;16898;166896;799588;49.598666;6.1330168;2816571582;;? Arrival : has a short delay;FALSE;en;8,75E+17;13.06.2017 5:34;30;en;0.984465;"? #RB6160 Volmerange-les-Mines?Bettembourg
Arrival 7:26
has a short delay
#CFL60";transport
88;2927;110679;414154;50.90114762;4.34206344;554508724;;I'm at Palais / Paleis (Laeken, Brussels) w/ others;FALSE;et;4,01E+17;15.11.2013 17:31;52;en;0.874551;I'm at Palais / Paleis 12 (Laeken, Brussels) w/ 20 others http://t.co/iuugayYoKv;services
89;28437;34493;132304;50.44576743;4.636318900000001;46239171;;Watching Standard :-D — at Hall Omnisport;FALSE;en;1,59E+16;17.12.2010 21:26;42;en;0.913298;Watching Standard :-D — at Hall Omnisport http://gowal.la/c/39xiV;services
90;16088;166128;798442;49.598666;6.1330168;2816571582;;? Departure : has a short delay;FALSE;ca;8,77E+17;20.06.2017 15:18;32;en;0.969461;"? #RE6577 LUX?Volmerange-les-Mines
Departure 17:23
has a short delay
#CFL60";transport
91;47714;77723;259005;49.75662247;6.64161333;243799929;;Things that saw my camera sensor number :;FALSE;en;4,76E+17;09.06.2014 9:40;42;en;0.960964;Things that saw my camera sensor number 19: #giant #monster says #bwaaaaa #accidental #creature… http://t.co/cyc6XniK1X;other
92;38830;58124;205880;50.112622;6.8442835;139454928;;My wisdom teeth better not be coming in. I'm not ready for this!!!!!?;FALSE;en;7,48E+17;28.06.2016 17:59;69;en;0.8307690000000001;My wisdom teeth better not be coming in. I'm not ready for this!!!!!?;services
93;16336;166360;798784;49.598666;6.1330168;2816571582;;? Departure : has a short delay;FALSE;en;8,77E+17;19.06.2017 12:14;32;en;0.969461;"? #RB3638 Diekirch?LUX
Departure 13:51
has a short delay
#CFL10";transport
94;3930;11575;43490;49.6079058;6.1358041;16778498;;Offloading comments to Twitter: credit where credit's due;FALSE;en;27012080197;11.10.2010 7:04;58;en;0.8660129999999999;Offloading comments to Twitter: credit where credit's due http://is.gd/fWxup that was 1 ½ year ago /cc @iA;other
95;32319;43395;163158;-0.4883337;51.47149308;70030535;;I'm at Terminal -;FALSE;en;3,62E+17;30.07.2013 11:33;18;en;0.966465;I'm at Terminal 5 - @heathrowairport (Hounslow, Middlesex) w/ 8 others http://t.co/lpEXVSo8Ci;transport
96;13892;159552;778327;49.685719;6.032233799999999;2345340125;;Sometimes you just need a break. In a beautiful place. Alone. To figure everything out.;FALSE;en;4.8579870358924083e+017;06.07.2014 14:53;87;en;0.901706;Sometimes you just need a break. In a beautiful place. Alone. To figure everything out.;outdoors
97;29979;37392;140925;42.0475;-72.3403;61220731;;: NZF (Paul) on W/CR- (Peaked Mountain, m, pt) . CW: [RBNHole] at WKAZ WPM dB SNR [RBNHOLE];FALSE;en;1,18E+18;28.09.2019 16:55;91;en;0.8762969999999999;16:55 N1ZF (Paul) on W1/CR-006 (Peaked Mountain, 373m, 1 pt) 10.1140 CW: [RBNHole] at W4KAZ 20 WPM 18 dB SNR [RBNHOLE];outdoors
98;23595;25167;104915;49.6579061;6.13182155;28345806;;Ryan is an absolutely sound fella;FALSE;en;6,64E+17;10.11.2015 20:50;34;en;0.984479;Ryan is an absolutely sound fella #SASWhoDaresWins;other
99;23480;25032;103013;49.65834132;6.14045166;28345806;;Michelle is a fucking queen;FALSE;en;5,54E+17;11.01.2015 21:35;28;en;0.788242;Michelle is a fucking queen  #CBB;other
